2026/09/12 05:58:48.495, 13135 MiB, 16311 MiB, 92 %, 54, 136.26 W, 2767 MHz
2026/09/12 05:58:48.696, 13135 MiB, 16311 MiB, 96 %, 54, 136.04 W, 2767 MHz
2026/09/12 05:58:48.898, 13135 MiB, 16311 MiB, 96 %, 54, 135.87 W, 2767 MHz
2026/09/12 05:58:49.099, 13135 MiB, 16311 MiB, 97 %, 54, 137.76 W, 2767 MHz
2026/09/12 05:58:49.300, 13135 MiB, 16311 MiB, 97 %, 54, 138.80 W, 2767 MHz
2026/09/12 05:58:49.501, 13135 MiB, 16311 MiB, 80 %, 54, 135.22 W, 2767 MHz
2026/09/12 05:58:49.702, 13135 MiB, 16311 MiB, 97 %, 54, 135.57 W, 2767 MHz
2026/09/12 05:58:49.904, 13135 MiB, 16311 MiB, 97 %, 54, 136.02 W, 2767 MHz
2026/09/12 05:58:50.105, 13135 MiB, 16311 MiB, 97 %, 54, 135.74 W, 2767 MHz
2026/09/12 05:58:50.306, 13135 MiB, 16311 MiB, 97 %, 54, 136.14 W, 2767 MHz
2026/09/12 05:58:50.507, 13135 MiB, 16311 MiB, 97 %, 54, 139.64 W, 2767 MHz
2026/09/12 05:58:50.708, 13135 MiB, 16311 MiB, 97 %, 54, 136.44 W, 2767 MHz
2026/09/12 05:58:50.909, 13135 MiB, 16311 MiB, 97 %, 54, 136.41 W, 2767 MHz
2026/09/12 05:58:51.110, 13135 MiB, 16311 MiB, 97 %, 54, 136.31 W, 2767 MHz
2026/09/12 05:58:51.311, 13135 MiB, 16311 MiB, 97 %, 54, 136.35 W, 2767 MHz
2026/09/12 05:58:51.512, 13135 MiB, 16311 MiB, 97 %, 54, 136.67 W, 2767 MHz
2026/09/12 05:58:51.713, 13135 MiB, 16311 MiB, 78 %, 51, 133.51 W, 2767 MHz
2026/09/12 05:58:51.915, 13135 MiB, 16311 MiB, 88 %, 51, 133.99 W, 2767 MHz
2026/09/12 05:58:52.116, 13135 MiB, 16311 MiB, 97 %, 51, 134.10 W, 2767 MHz
2026/09/12 05:58:52.317, 13135 MiB, 16311 MiB, 97 %, 54, 133.46 W, 2767 MHz
2026/09/12 05:58:52.518, 13135 MiB, 16311 MiB, 97 %, 54, 133.42 W, 2767 MHz
2026/09/12 05:58:52.719, 13135 MiB, 16311 MiB, 97 %, 54, 137.33 W, 2767 MHz
2026/09/12 05:58:52.920, 13135 MiB, 16311 MiB, 97 %, 54, 136.89 W, 2767 MHz
2026/09/12 05:58:53.122, 13135 MiB, 16311 MiB, 82 %, 54, 136.28 W, 2767 MHz
2026/09/12 05:58:53.323, 13135 MiB, 16311 MiB, 96 %, 54, 136.32 W, 2767 MHz
2026/09/12 05:58:53.525, 13135 MiB, 16311 MiB, 97 %, 54, 136.39 W, 2767 MHz
2026/09/12 05:58:53.726, 13135 MiB, 16311 MiB, 97 %, 54, 136.40 W, 2767 MHz
2026/09/12 05:58:53.927, 13135 MiB, 16311 MiB, 97 %, 54, 136.72 W, 2767 MHz
2026/09/12 05:58:54.128, 13135 MiB, 16311 MiB, 97 %, 54, 139.83 W, 2767 MHz
2026/09/12 05:58:54.330, 13135 MiB, 16311 MiB, 83 %, 54, 136.35 W, 2767 MHz
2026/09/12 05:58:54.531, 13132 MiB, 16311 MiB, 95 %, 54, 136.32 W, 2767 MHz
